"activity_date","source_type","fleet_display_name","ahs_mode","actual_tonnes","cycle_count","source_truck_count_observed","truck_count","calendar_hours","not_required_hours","required_hours","cyclone_standby_hours","scheduled_maintenance_hours","unscheduled_maintenance_hours","available_hours","operational_standby_hours","operating_hours","operating_delay_hours","payload_from_quantity_per_cycle","quantity_reporting_avg","payload","loaded_distance_km","loaded_speed_kph","empty_distance_km","empty_speed_kph","queue_load_minutes","spot_load_minutes","loaded_travel_minutes","truck_loading_minutes","queue_dump_minutes","spot_dump_minutes","dumping_minutes","empty_travel_minutes","plan_model_scope","source_gross_cycle_minutes","source_availability_pct"
"2025-06-14","weekly","EH5000","Plan","369448.17681091983","1265.2334822291782","24.0",,"576.0","0.0","576.0","0.0","49.536001682281494","52.64640061626434","473.8176040649414","0.0","473.8176040649414","75.81081848610307","291.99999999999983","291.99999999999983","291.99999999999983","2.5040313943740173","22.104938215353656","2.5040313943740173","26.575404952336715","","0.691857552227886","6.796756552709384","2.088781629155471","","0.41396451757929315","1.2199999999999993","5.653418411945238","working_net_combined_queue","18.87430847675469","0.8226000070571899"
"2025-06-15","weekly","CAT793","Plan","541135.2354399215","2254.7301476663392","54.0",,"1296.0","0.0","1296.0","0.0","103.67999768257141","115.65504363604546","1076.6649627685547","0.0","1076.6649627685547","194.19845888371697","240.00000000000003","240.00000000000003","240.00000000000003","3.3843464272875066","24.897601067018346","3.3843464272875057","29.06237942467181","","0.8412812810781893","8.1558373873314","2.7654253688612105","","1.1431070871642308","0.7095960960808645","6.987066773509493","working_net_combined_queue","22.442044340225657","0.8307600021362305"
"2025-06-15","weekly","EH4000","Plan","198024.7074797827","860.9769890425339","18.0",,"432.0","0.0","432.0","0.0","21.600000321865082","42.27120001577139","368.12880992889404","0.0","368.12880992889404","88.35091240813775","229.9999999999999","229.9999999999999","229.9999999999999","2.477372168956983","26.470585552729972","2.477372168956983","30.842577574164906","","0.542889579169011","5.615377485372218","3.7200359697221357","","1.4587018824417826","0.8999999999999998","4.819387412741025","working_net_combined_queue","18.54347168767165","0.852150022983551"
"2025-06-15","weekly","EH5000","Plan","316401.46996281954","1083.566677954862","24.0",,"576.0","0.0","576.0","0.0","49.536001682281494","52.64640061626434","473.8176040649414","0.0","473.8176040649414","75.81081848610307","291.9999999999999","291.9999999999999","291.9999999999999","3.003266344153101","22.181466956582916","3.003266344153101","27.19310590551197","","0.6980316631164462","8.123717921898232","1.997913474121754","","0.4339540375320765","1.2200000000000002","6.626531786229715","working_net_combined_queue","21.12042622239722","0.8226000070571899"
"2025-06-16","weekly","CAT793","Plan","570099.2393335885","2375.413497223286","54.0",,"1296.0","0.0","1296.0","0.0","103.67999768257141","115.65504363604546","1076.6649627685547","0.0","1076.6649627685547","194.19845888371697","239.99999999999994","239.99999999999994","239.99999999999994","3.2131852402218053","23.566342550556172","3.2131852402218057","27.769348265814596","","0.8270057678687813","8.180782147238983","2.6428444113193947","","1.0751203839205998","0.7085254325901589","6.942586933185014","working_net_combined_queue","22.237184366473084","0.8307600021362305"
"2025-06-16","weekly","EH4000","Plan","187726.717855919","816.2031211126921","18.0",,"432.0","0.0","432.0","0.0","21.600000321865082","42.27120001577139","368.12880992889404","0.0","368.12880992889404","88.35091240813775","229.9999999999998","229.9999999999998","229.9999999999998","2.775729122780411","24.992144832313254","2.775729122780411","29.37338086141098","","0.5404937945180158","6.663843719067048","3.682233644193741","","1.4335138401105252","0.9","5.669886900408527","working_net_combined_queue","20.48725735046912","0.852150022983551"
"2025-06-16","weekly","EH5000","Plan","322066.3050628732","1102.9667981605257","24.0",,"576.0","0.0","576.0","0.0","49.536001682281494","52.64640061626434","473.8176040649414","0.0","473.8176040649414","75.81081848610307","291.9999999999997","291.9999999999997","291.9999999999997","3.157678641984377","22.630550881487537","3.157678641984377","27.765593748275766","","0.703334964265963","8.371900423955084","2.1016408057511455","","0.4011020217067393","1.2199999999999995","6.823578859387009","working_net_combined_queue","21.65106608693632","0.8226000070571899"
"2025-06-17","weekly","CAT793","Plan","582385.1634599916","2426.604847749961","54.0",,"1296.0","0.0","1296.0","0.0","103.67999768257141","115.65504363604546","1076.6649627685547","0.0","1076.6649627685547","194.19845888371697","240.00000000000037","240.00000000000037","240.00000000000037","2.858468670675802","22.76114531939148","2.858468670675802","26.87721801069365","","0.824073465934591","7.535126982139639","2.7678537662047233","","1.1363391194243275","0.7090197677360759","6.381170855268953","working_net_combined_queue","21.21124176283523","0.8307600021362305"
"2025-06-17","weekly","EH4000","Plan","159134.1089247811","691.8874301077441","18.0",,"432.0","0.0","432.0","0.0","21.600000321865082","42.27120001577139","368.12880992889404","0.0","368.12880992889404","88.35091240813775","229.99999999999991","229.99999999999991","229.99999999999991","3.2730374343303037","24.771750615164557","3.2730374343303037","29.923757570875438","","0.5389069702631809","7.927669267734297","3.5291196468251855","","1.2941382050117867","0.8999999999999999","6.562753544392953","working_net_combined_queue","22.422867002121063","0.852150022983551"
"2025-06-17","weekly","EH5000","Plan","323973.2857133683","1109.4975538129056","24.0",,"576.0","0.0","576.0","0.0","49.536001682281494","52.64640061626434","473.8176040649414","0.0","473.8176040649414","75.81081848610307","291.9999999999999","291.9999999999999","291.9999999999999","3.0424697091978623","21.98982553853408","3.0424697091978623","27.25745038670166","","0.6828233780896724","8.301483894539395","2.155876822085756","","0.47245041579187136","1.2200000000000004","6.6971848049637535","working_net_combined_queue","21.52362297362655","0.8226000070571899"
"2025-06-18","weekly","CAT793","Plan","653007.5671778616","2720.8648632410873","54.0",,"1296.0","0.0","1296.0","0.0","103.67999768257141","115.65504363604546","1076.6649627685547","0.0","1076.6649627685547","194.19845888371697","240.00000000000023","240.00000000000023","240.00000000000023","2.6642544675528543","23.90991779902266","2.6642544675528543","28.49240944506822","","0.7891995412156403","6.6857305573716985","2.6110636705973485","","1.1174754539009915","0.7058531513018105","5.610451034734824","working_net_combined_queue","19.389159629229663","0.8307600021362305"
"2025-06-18","weekly","EH4000","Plan","168099.14587786637","730.8658516428967","18.0",,"432.0","0.0","432.0","0.0","21.600000321865082","42.27120001577139","368.12880992889404","0.0","368.12880992889404","88.35091240813775","230.00000000000017","230.00000000000017","230.00000000000017","3.2453106804115253","23.575960314623664","3.2453106804115253","29.041430469847995","","0.5410323516378229","8.259202943428425","3.7159258965227675","","1.1328324423006175","0.9000000000000001","6.704857084324975","working_net_combined_queue","22.82636254287472","0.852150022983551"
"2025-06-18","weekly","EH5000","Plan","307849.63834886445","1054.279583386523","24.0",,"576.0","0.0","576.0","0.0","49.536001682281494","52.64640061626434","473.8176040649414","0.0","473.8176040649414","75.81081848610307","291.9999999999998","291.9999999999998","291.9999999999998","3.307069535408899","22.17973936467711","3.3070695354088997","27.26076161470723","","0.7049477570601885","8.946190433623364","2.0942215064324805","","0.3745016800649224","1.2200000000000002","7.2787464609016554","working_net_combined_queue","22.650924304076266","0.8226000070571899"
"2025-06-19","weekly","CAT793","Plan","655124.8606680488","2729.6869194502033","54.0",,"1296.0","0.0","1296.0","0.0","103.67999768257141","115.65504363604546","1076.6649627685547","0.0","1076.6649627685547","194.19845888371697","240.00000000000003","240.00000000000003","240.00000000000003","2.664456894960384","24.173360154867265","2.664456894960385","28.904718397044054","","0.8019616378487325","6.613371607150527","2.6228457572703987","","1.142413964200116","0.7068225236165216","5.530841418402193","working_net_combined_queue","19.269522383332713","0.8307600021362305"
"2025-06-19","weekly","EH4000","Plan","167763.54390899718","729.406712647813","18.0",,"432.0","0.0","432.0","0.0","21.600000321865082","42.27120001577139","368.12880992889404","0.0","368.12880992889404","88.35091240813775","230.00000000000026","230.00000000000026","230.00000000000026","3.383937074034331","24.8300219029719","3.383937074034331","30.015673219571877","","0.5409219262017321","8.177045724545192","3.6715206560275933","","1.1402022779105006","0.9000000000000002","6.76434018177107","working_net_combined_queue","22.771622161176385","0.852150022983551"
"2025-06-19","weekly","EH5000","Plan","328449.395162469","1124.82669576188","24.0",,"576.0","0.0","576.0","0.0","49.536001682281494","52.64640061626434","473.8176040649414","0.0","473.8176040649414","75.81081848610307","292.00000000000006","292.00000000000006","292.00000000000006","3.0530834968966136","22.174457704929836","3.0530834968966136","27.797598695966933","","0.7047515566622684","8.261081838004591","2.0127662443170657","","0.40976632910494093","1.22","6.589958068585779","working_net_combined_queue","21.230298968642277","0.8226000070571899"
"2025-06-20","weekly","CAT793","Plan","653222.1673226291","2721.7590305109543","54.0",,"1296.0","0.0","1296.0","0.0","103.67999768257141","115.65504363604546","1076.6649627685547","0.0","1076.6649627685547","194.19845888371697","240.00000000000003","240.00000000000003","240.00000000000003","2.7029207615117126","24.58222605819488","2.702920761511713","28.92803012710426","","0.8033413920951318","6.597256298383076","2.6456043627148276","","1.2392664189414557","0.706936042094268","5.606162776315415","working_net_combined_queue","19.387908686045893","0.8307600021362305"
"2025-06-20","weekly","EH4000","Plan","170119.79917469536","739.6513007595445","18.0",,"432.0","0.0","432.0","0.0","21.600000321865082","42.27120001577139","368.12880992889404","0.0","368.12880992889404","88.35091240813775","230.00000000000017","230.00000000000017","230.00000000000017","3.4213417844790315","25.492309431566756","3.4213417844790315","30.68838535581249","","0.5434735119359335","8.052644567955308","3.842207069574117","","1.1498157405881482","0.9000000000000001","6.689192171195837","working_net_combined_queue","22.63755151219638","0.852150022983551"
